subject,H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
5,0.0591,0.2440,0.0900,0.0990,0.0979,0.0824,0.1064,0.1686,0.1124,0.2949,0.1106,0.2140,0.0937,0.0690,0.1333,0.0457,0.1040,0.1238,0.0919,0.2667,0.1117
5,0.0792,0.1464,0.1074,0.1090,0.0869,0.0810,0.1122,0.1863,0.0900,0.2748,0.1256,0.1687,0.0905,0.0864,0.1349,0.0357,0.0808,0.1227,0.0789,0.2764,0.0792
5,0.0515,0.2179,0.0977,0.1016,0.0718,0.0813,0.0979,0.1950,0.0750,0.2951,0.1127,0.1858,0.0847,0.0816,0.1227,0.0222,0.0898,0.1193,0.0737,0.2733,0.0676
5,0.0536,0.1907,0.1082,0.1235,0.0737,0.0718,0.0876,0.1900,0.0971,0.3168,0.1061,0.2082,0.0829,0.0732,0.1204,0.0420,0.0890,0.1145,0.0715,0.5630,0.1072
5,0.0578,0.2575,0.0839,0.1114,0.0768,0.0702,0.1003,0.1715,0.1114,0.3109,0.1165,0.1958,0.0839,0.0608,0.1296,0.0386,0.0905,0.1322,0.0813,0.2751,0.0961
5,0.0570,0.1638,0.0942,0.1251,0.0755,0.0821,0.0995,0.1802,0.0940,0.3209,0.1156,0.2022,0.0642,0.0695,0.1151,0.0423,0.0818,0.1217,0.0850,0.2553,0.0905
5,0.0594,0.1643,0.0985,0.1235,0.0829,0.1254,0.1552,0.2182,0.1014,0.3333,0.1156,0.1855,0.0795,0.0935,0.1238,0.0288,0.0948,0.1185,0.0797,0.2693,0.0837
5,0.0737,0.2076,0.0871,0.1109,0.0998,0.1019,0.1006,0.3161,0.0797,0.3851,0.1151,0.1404,0.0929,0.0690,0.1227,0.0676,0.0847,0.1143,0.0855,0.2762,0.0924
5,0.0776,0.1649,0.1095,0.1053,0.1029,0.0824,0.1177,0.1942,0.0998,0.3350,0.1114,0.1708,0.0993,0.0853,0.1280,0.0375,0.0987,0.1158,0.0953,0.2952,0.0916
5,0.0729,0.2242,0.1154,0.0990,0.0924,0.0681,0.0874,0.1908,0.0884,0.3975,0.1186,0.1958,0.0890,0.0880,0.1212,0.0623,0.0715,0.1312,0.0913,0.2696,0.0905
5,0.0813,0.2050,0.1114,0.0676,0.0752,0.0808,0.0993,0.2050,0.0937,0.3387,0.1004,0.1895,0.0750,0.1130,0.1164,0.0671,0.1000,0.1341,0.0702,0.2509,0.0969
5,0.0787,0.7182,0.0845,0.2125,0.0805,0.1357,0.0982,0.2797,0.0895,0.3808,0.1218,0.1528,0.0916,0.0785,0.1154,0.0547,0.0948,0.1285,0.0966,0.3321,0.0697
5,0.0810,0.2269,0.1003,0.1164,0.0660,0.0779,0.0882,0.1879,0.0964,0.3661,0.1165,0.1776,0.0913,0.0832,0.1230,0.0468,0.0813,0.1219,0.0826,0.2667,0.0784
5,0.0876,0.6401,0.0990,0.1249,0.0913,0.1378,0.0953,0.3296,0.0916,0.5545,0.1331,0.3718,0.0863,0.0890,0.1140,0.0650,0.0911,0.1261,0.0953,0.2809,0.0850
5,0.0792,0.2548,0.0979,0.0742,0.0744,0.1111,0.0942,0.2430,0.1035,0.3754,0.1230,0.1621,0.0882,0.0948,0.1124,0.1212,0.1106,0.1304,0.1037,0.2973,0.0515
5,0.0795,0.1810,0.1095,0.0808,0.0813,0.4439,0.1259,0.2802,0.1206,0.3743,0.0932,0.4325,0.1074,0.0917,0.1378,0.0381,0.0784,0.1306,0.0940,0.2656,0.0874
5,0.0895,0.1905,0.0792,0.0942,0.0919,0.1280,0.0993,0.3069,0.0853,0.3423,0.1064,0.1837,0.0832,0.0835,0.1367,0.0407,0.0858,0.1211,0.0771,0.2572,0.0882
5,0.0964,0.6694,0.0884,0.1903,0.0892,0.0903,0.0847,0.2644,0.0908,0.3777,0.1048,0.2790,0.1101,0.1289,0.1127,0.0792,0.0731,0.1430,0.0768,0.2928,0.0758
5,0.0816,0.1804,0.0971,0.0934,0.1000,0.0795,0.0942,0.2114,0.0916,0.3616,0.1407,0.1713,0.0869,0.0943,0.1024,0.0489,0.0861,0.1132,0.0816,0.2875,0.0803
5,0.0771,0.2105,0.1111,0.1175,0.0723,0.0895,0.1059,0.1974,0.0726,0.3809,0.1413,0.2162,0.0710,0.1001,0.1154,0.0389,0.0916,0.1127,0.0803,0.2728,0.0850
5,0.0742,0.1844,0.0985,0.1154,0.0863,0.0512,0.1024,0.1871,0.1029,0.3949,0.1061,0.2125,0.0747,0.0933,0.1227,0.0560,0.0758,0.1380,0.0853,0.2495,0.0932
5,0.0795,0.1680,0.0921,0.1238,0.0826,0.0713,0.1188,0.1491,0.0993,0.3407,0.1077,0.1766,0.1003,0.0880,0.1241,0.0518,0.0795,0.1401,0.0855,0.2490,0.0892
5,0.0718,0.1957,0.0956,0.0810,0.0921,0.0475,0.1122,0.1496,0.1396,0.3469,0.1376,0.1465,0.0908,0.0735,0.1167,0.0265,0.0927,0.1071,0.0932,0.2427,0.0818
5,0.0832,0.1134,0.1143,0.0847,0.1016,0.0755,0.0964,0.1752,0.1336,0.3408,0.1254,0.1412,0.0887,0.0890,0.1167,0.0246,0.0969,0.1288,0.0869,0.2617,0.0971
5,0.0876,0.0865,0.0966,0.0927,0.0937,0.1016,0.1122,0.1713,0.0950,0.3534,0.1177,0.1584,0.0884,0.0687,0.1291,0.0228,0.0618,0.1549,0.0903,0.2598,0.0776
5,0.0834,0.2353,0.1032,0.0979,0.0987,0.0797,0.1085,0.1351,0.1074,0.3265,0.1094,0.1439,0.1106,0.1067,0.1293,0.0370,0.0876,0.1214,0.0898,0.2427,0.0808
5,0.0721,0.2337,0.0929,0.0934,0.0776,0.0642,0.0932,0.1578,0.1048,0.3326,0.1189,0.1552,0.0779,0.0711,0.1037,0.0589,0.0882,0.1383,0.0884,0.2701,0.0826
5,0.0998,0.2306,0.1130,0.1085,0.0937,0.0995,0.0995,0.1681,0.0979,0.3170,0.1212,0.1312,0.0882,0.0748,0.1161,0.0175,0.1024,0.1312,0.0966,0.2493,0.0913
5,0.0803,0.1306,0.1000,0.0966,0.0803,0.0644,0.0924,0.1596,0.1088,0.3017,0.1019,0.1409,0.0924,0.0874,0.1093,0.0188,0.0882,0.1193,0.0903,0.2580,0.0911
5,0.0768,0.3419,0.0251,0.9286,0.0903,0.1249,0.0890,0.1998,0.0839,0.3582,0.1207,0.1850,0.0950,0.0645,0.1143,0.0302,0.0998,0.1209,0.0892,0.2973,0.0834
5,0.0760,0.4345,0.0892,0.0987,0.0803,0.1053,0.0942,0.2214,0.1069,0.3537,0.0972,0.1837,0.1016,0.0991,0.1059,0.0254,0.0887,0.1301,0.0908,0.2746,0.0784
5,0.0739,0.2031,0.0853,0.1193,0.0937,0.0681,0.0945,0.3011,0.1066,0.3772,0.1246,0.1760,0.0913,0.2012,0.1256,0.0280,0.0934,0.1533,0.0816,0.2527,0.0913
5,0.0948,0.1836,0.0908,0.1151,0.0911,0.0805,0.1011,0.1842,0.1370,0.3378,0.1196,0.2183,0.0969,0.0798,0.1190,0.0365,0.0898,0.1533,0.0887,0.2693,0.0979
5,0.0747,0.2285,0.0945,0.0702,0.1214,0.0895,0.1085,0.2101,0.1338,0.4117,0.1317,0.2199,0.0916,0.0925,0.1161,0.0544,0.0950,0.1230,0.0834,0.2709,0.0956
5,0.0853,0.7238,0.0818,0.0911,0.0916,0.1729,0.1003,0.1829,0.1059,0.3519,0.1244,0.2222,0.1167,0.0827,0.1301,0.0916,0.0335,0.1887,0.1146,0.2564,0.0884
5,0.0750,0.2480,0.0987,0.0779,0.0832,0.0644,0.0932,0.1984,0.1032,0.3938,0.1149,0.2016,0.1101,0.0743,0.1272,0.0518,0.0723,0.1538,0.0855,0.2714,0.0818
5,0.0710,0.3266,0.1043,0.0863,0.0929,0.0813,0.0950,0.1544,0.1082,0.3484,0.1473,0.1396,0.0993,0.1067,0.1193,0.0534,0.0919,0.1253,0.0866,0.2699,0.0908
5,0.0763,0.1722,0.1011,0.0879,0.1130,0.0758,0.0990,0.1649,0.1167,0.3400,0.1265,0.1874,0.1085,0.0919,0.1235,0.0112,0.0971,0.1620,0.0489,0.3575,0.0929
5,0.0768,0.1944,0.0916,0.1132,0.0887,0.0478,0.1103,0.1174,0.1169,0.3344,0.1336,0.1270,0.1032,0.0698,0.1328,0.0265,0.0760,0.1325,0.0971,0.2593,0.0916
5,0.0847,0.1688,0.0961,0.0850,0.1082,0.0467,0.1106,0.1496,0.1264,0.3231,0.1436,0.0953,0.1214,0.0927,0.1296,0.0069,0.0937,0.1362,0.1024,0.2414,0.0905
5,0.0565,0.2593,0.1309,0.0694,0.0853,0.1161,0.1146,0.1636,0.1138,0.2730,0.1270,0.1349,0.0998,0.0616,0.1259,0.0228,0.0813,0.1407,0.0956,0.2516,0.0908
5,0.0890,0.1369,0.1029,0.0839,0.1011,0.0557,0.1594,0.0850,0.1146,0.3054,0.1371,0.1209,0.0985,0.0940,0.1323,-0.0124,0.1038,0.1407,0.0929,0.2448,0.0874
5,0.1077,0.4820,0.0900,0.1916,0.0921,0.0547,0.1169,0.1185,0.1000,0.4041,0.1520,0.1491,0.0850,0.0824,0.1209,0.0346,0.0900,0.1409,0.0855,0.2564,0.0853
5,0.1175,0.3826,0.0876,0.0810,0.0694,0.1908,0.0829,0.5001,0.1151,0.2893,0.0938,0.1589,0.1066,0.0671,0.1093,0.0151,0.0958,0.1182,0.0874,0.2572,0.0784
5,0.0911,0.1208,0.1357,0.0919,0.1167,0.1235,0.1045,0.2285,0.1080,0.3849,0.1333,0.1687,0.1225,0.0948,0.1183,0.0449,0.1006,0.1441,0.0905,0.2640,0.1074
5,0.0808,0.1839,0.1212,0.0966,0.1169,0.1177,0.0795,0.2523,0.1415,0.3513,0.1188,0.2114,0.1035,0.1212,0.0879,0.0964,0.0826,0.1618,0.0993,0.3137,0.1288
5,0.0971,0.1546,0.1169,0.1465,0.1080,0.0723,0.1085,0.1895,0.1262,0.3515,0.1233,0.2069,0.1000,0.1112,0.1845,-0.0166,0.1003,0.1681,0.0874,0.3200,0.1093
5,0.0562,0.1295,0.1212,0.1299,0.0850,0.0721,0.0993,0.2006,0.0966,0.3529,0.1283,0.1523,0.0993,0.1740,0.0998,0.0716,0.0779,0.1686,0.0832,0.3168,0.1154
5,0.0974,0.1622,0.1180,0.1848,0.1069,0.0560,0.1190,0.1781,0.1309,0.3497,0.1679,0.1515,0.0982,0.1516,0.1061,0.0185,0.0599,0.2541,0.0692,0.3701,0.1061
5,0.0676,0.1707,0.1056,0.2098,0.1528,0.1935,0.1201,0.1924,0.0879,0.3513,0.1523,0.2117,0.1106,0.0998,0.1167,0.0243,0.0929,0.5826,0.1066,0.3184,0.0890
5,0.0752,0.1794,0.1140,0.0993,0.0927,0.0684,0.1011,0.2415,0.0982,0.3532,0.1434,0.1592,0.1088,0.0933,0.1299,0.0397,0.0966,0.1446,0.0958,0.3696,0.1098
5,0.0818,0.1533,0.1357,0.1151,0.0729,0.0884,0.0993,0.2064,0.1156,0.3056,0.1492,0.1497,0.0892,0.1093,0.1124,0.0565,0.0839,0.1599,0.0816,0.3662,0.1045
5,0.0739,0.1952,0.1283,0.0971,0.1008,0.0982,0.1111,0.1578,0.1212,0.3268,0.1299,0.1441,0.0993,0.0896,0.1470,0.0402,0.0985,0.1327,0.1011,0.3561,0.1214
5,0.0744,0.1480,0.1402,0.0995,0.0969,0.0987,0.1148,0.1494,0.1090,0.3690,0.1302,0.1449,0.1059,0.1046,0.1045,0.0576,0.0887,0.1409,0.0839,0.3767,0.0985
5,0.0681,0.1971,0.1314,0.0652,0.0964,0.0845,0.1061,0.1707,0.1117,0.3413,0.1442,0.1665,0.0829,0.1349,0.0734,0.0397,0.0396,0.2454,0.0958,0.3356,0.0781
5,0.0723,0.1680,0.1291,0.0829,0.0839,0.0702,0.1151,0.1454,0.1159,0.3851,0.1529,0.1576,0.0948,0.0487,0.1665,0.0320,0.0813,0.1422,0.0969,0.3018,0.0911
5,0.0755,0.1796,0.1241,0.0913,0.0898,0.0866,0.1037,0.1351,0.1230,0.3672,0.1402,0.1317,0.1101,0.0840,0.1312,0.0457,0.0929,0.1177,0.1037,0.2904,0.0863
5,0.1051,0.1657,0.1367,0.0631,0.1003,0.0795,0.1085,0.1565,0.1045,0.3405,0.1400,0.1431,0.1003,0.0502,0.1887,0.0148,0.0919,0.1232,0.0826,0.3031,0.0903
5,0.0821,0.1728,0.1085,0.0779,0.0752,0.0905,0.1156,0.1657,0.1016,0.3445,0.1314,0.1771,0.0821,0.0724,0.1375,0.0391,0.0919,0.1483,0.0705,0.3311,0.0855
5,0.1198,0.1501,0.1088,0.1227,0.0826,0.0715,0.1019,0.1567,0.1095,0.3347,0.1486,0.1431,0.0971,0.0848,0.1579,-0.0190,0.1006,0.1391,0.0800,0.2965,0.0774
5,0.0903,0.1398,0.1262,0.0837,0.0995,0.0795,0.1169,0.1335,0.1035,0.4561,0.1407,0.1512,0.1011,0.0946,0.1566,-0.0069,0.0877,0.1206,0.0979,0.2854,0.0898
5,0.0905,0.1224,0.1346,0.0921,0.1098,0.3444,0.1154,0.9779,0.1048,0.3521,0.1028,0.1800,0.0903,0.0397,0.1475,0.0254,0.0974,0.1380,0.0805,0.3010,0.0905
5,0.0771,0.1548,0.1122,0.1032,0.0689,0.1763,0.1267,0.1261,0.1040,0.3239,0.1254,0.1813,0.0937,0.0727,0.1365,0.0233,0.1006,0.1404,0.0882,0.3340,0.0869
5,0.0845,0.1171,0.1415,0.0544,0.0839,0.0771,0.1040,0.1269,0.1212,0.3721,0.1458,0.1069,0.0887,0.0682,0.1322,0.0185,0.0908,0.1335,0.0956,0.3076,0.0895
5,0.0797,0.1459,0.1317,0.0969,0.0890,0.0655,0.1185,0.2491,0.1465,0.4701,0.1729,0.1230,0.0969,0.0568,0.1196,0.0312,0.0969,0.1190,0.0890,0.3007,0.0826
5,0.0863,0.2002,0.1159,0.1502,0.1048,0.1246,0.0916,0.3739,0.1080,0.3936,0.1473,0.1103,0.1016,0.0872,0.1185,0.0259,0.1069,0.1356,0.0898,0.2846,0.0810
5,0.0940,0.1263,0.1396,0.1663,0.0705,0.2650,0.0866,0.2069,0.1088,0.5326,0.1450,0.3206,0.1011,0.1202,0.1209,0.0278,0.0795,0.1591,0.0787,0.2791,0.0821
5,0.0834,0.7829,0.1159,0.1365,0.0858,0.1386,0.0945,0.4679,0.0905,0.4178,0.1331,0.1346,0.0929,0.0880,0.1301,0.0286,0.0821,0.1591,0.0755,0.2970,0.0863
5,0.0781,0.1796,0.1172,0.0921,0.0792,0.1217,0.0898,0.2069,0.1000,0.3566,0.1410,0.1404,0.0869,0.1336,0.1296,-0.0074,0.1030,0.1306,0.1048,0.2699,0.0795
5,0.0940,0.2643,0.1093,0.0958,0.1006,0.1146,0.0895,0.1852,0.1114,0.5653,0.1405,0.4827,0.1056,0.0927,0.1243,0.0352,0.0882,0.1934,0.0766,0.4026,0.0987
5,0.0882,0.1704,0.1378,0.1045,0.0731,0.0832,0.0903,0.1971,0.1314,0.4885,0.0890,0.2512,0.0985,0.1112,0.1233,0.0051,0.0956,0.1662,0.0964,0.2920,0.0853
5,0.0879,0.1683,0.1183,0.0768,0.0953,0.1246,0.0882,0.1744,0.1011,0.3819,0.1459,0.1180,0.0982,0.1093,0.1037,0.0299,0.0913,0.1230,0.0890,0.2859,0.0784
5,0.0800,0.1709,0.1148,0.0826,0.1143,0.0750,0.0845,0.1612,0.1154,0.3737,0.1552,0.1344,0.0866,0.0613,0.1663,0.0075,0.1006,0.1346,0.0858,0.3060,0.0768
5,0.0734,0.2606,0.1135,0.0766,0.0916,0.0816,0.0927,0.1631,0.1111,0.3727,0.1669,0.8830,0.0784,0.2474,0.1135,0.1523,0.0879,0.1259,0.0821,0.2490,0.0771
5,0.0919,0.0788,0.1314,0.0784,0.0853,0.0729,0.0958,0.1562,0.1143,0.3207,0.1579,0.0795,0.1222,0.0948,0.1151,0.0040,0.1146,0.2166,0.0615,0.3778,0.1095
5,0.0726,0.1501,0.1119,0.0824,0.0776,0.1043,0.1243,0.1172,0.1151,0.3033,0.1457,0.6890,0.0942,0.1371,0.1513,-0.0182,0.0929,0.1346,0.0921,0.2535,0.0842
5,0.0834,0.1477,0.1227,0.0892,0.0845,0.0810,0.1051,0.1499,0.1151,0.3621,0.1597,0.1913,0.0869,0.1286,0.1568,-0.0261,0.1027,0.1562,0.1006,0.2691,0.0842
5,0.0863,0.1298,0.1367,0.0731,0.0995,0.0776,0.1415,0.1198,0.1196,0.3365,0.1518,0.1755,0.0863,0.0872,0.1338,0.0159,0.0998,0.1443,0.0869,0.2669,0.0937
5,0.0850,0.1197,0.1301,0.1130,0.0911,0.0866,0.1270,0.1557,0.1132,0.3014,0.1653,0.1272,0.0990,0.0603,0.1280,0.0246,0.0816,0.1660,0.0993,0.2606,0.0905
5,0.0805,0.0973,0.1341,0.0760,0.0950,0.0940,0.0921,0.1623,0.1309,0.3735,0.1565,0.1344,0.0953,0.1054,0.1394,0.0027,0.1040,0.1428,0.0929,0.2841,0.0866
5,0.0789,0.0933,0.1378,0.0760,0.1045,0.0729,0.1138,0.1185,0.1251,0.3283,0.1544,0.1386,0.0982,0.0864,0.1338,0.0032,0.0942,0.1309,0.0932,0.2973,0.0937
5,0.0779,0.1277,0.1380,0.0744,0.1156,0.1059,0.0948,0.1612,0.1314,0.3287,0.1515,0.1528,0.0987,0.0822,0.1542,-0.0206,0.1009,0.1399,0.0929,0.2933,0.0850
5,0.0895,0.1192,0.1367,0.0900,0.0853,0.1196,0.1336,0.1502,0.1285,0.3255,0.1853,0.1283,0.0945,0.1347,0.0956,0.0127,0.1214,0.1100,0.0874,0.2638,0.0921
5,0.0766,0.1387,0.1270,0.1351,0.0742,0.0905,0.1225,0.2765,0.1061,0.3342,0.1582,0.1159,0.0929,0.0700,0.1436,0.0238,0.0890,0.1494,0.0961,0.2891,0.1156
5,0.0882,0.1324,0.1349,0.1082,0.0895,0.0890,0.1169,0.3839,0.1048,0.3891,0.1405,0.1718,0.0871,0.0410,0.1378,0.0478,0.0993,0.1420,0.0879,0.2931,0.0816
5,0.0842,0.1649,0.1161,0.0861,0.0953,0.0808,0.0890,0.2035,0.1444,0.3207,0.1442,0.1552,0.1119,0.0798,0.1119,0.0241,0.0890,0.1399,0.0863,0.2817,0.1016
5,0.1201,0.1506,0.1233,0.1000,0.1238,0.0586,0.1193,0.1538,0.1016,0.3432,0.1365,0.1296,0.1161,0.0769,0.1425,0.0059,0.0932,0.1433,0.0900,0.2524,0.0948
5,0.0945,0.1208,0.1288,0.0832,0.0842,0.0895,0.1230,0.1388,0.1172,0.3151,0.1299,0.1555,0.1048,0.0882,0.1365,-0.0156,0.0840,0.1417,0.0866,0.2672,0.0797
5,0.0813,0.2084,0.1288,0.1035,0.1048,0.0842,0.1077,0.1399,0.1164,0.2962,0.1550,0.0810,0.0964,0.1122,0.1259,-0.0034,0.1064,0.1520,0.0842,0.2799,0.0879
5,0.0708,0.2197,0.1103,0.1000,0.0847,0.0710,0.0971,0.1639,0.0945,0.3202,0.1431,0.1365,0.0884,0.0901,0.1592,-0.0169,0.0930,0.1523,0.0945,0.2524,0.0842
5,0.0797,0.1176,0.1285,0.0850,0.0969,0.0950,0.1175,0.1370,0.1138,0.3167,0.1502,0.0874,0.0937,0.0782,0.1391,0.0365,0.1011,0.1348,0.0890,0.2738,0.0832
5,0.0702,0.2401,0.1124,0.1022,0.0866,0.0847,0.0818,0.2225,0.0895,0.3656,0.1144,0.1560,0.0752,0.0748,0.1175,0.0579,0.0898,0.1454,0.0937,0.3614,0.0940
5,0.0805,0.1583,0.1061,0.0821,0.0813,0.0821,0.0853,0.1974,0.0974,0.4033,0.0370,0.8334,0.0874,0.0864,0.1190,0.0441,0.0821,0.1713,0.1019,0.3047,0.1019
5,0.0771,0.1306,0.1109,0.1027,0.0808,0.0560,0.0961,0.1660,0.0847,0.5788,0.1275,0.1789,0.0961,0.0729,0.1204,0.0544,0.0615,0.1277,0.0913,0.3060,0.1095
5,0.0739,0.1620,0.1154,0.0866,0.0795,0.0560,0.1059,0.1567,0.0987,0.3376,0.1328,0.1573,0.0708,0.0874,0.1351,0.0299,0.0795,0.1420,0.0837,0.3831,0.0824
5,0.0618,0.1416,0.1264,0.1035,0.0747,0.0766,0.1003,0.1417,0.0998,0.3331,0.1595,0.1597,0.0758,0.0629,0.1399,0.0220,0.0742,0.1449,0.0824,0.3448,0.0966
5,0.0692,0.2242,0.1080,0.0734,0.0734,0.0832,0.0842,0.2401,0.1869,0.3501,0.1074,0.2154,0.0821,0.0988,0.1037,0.0383,0.0795,0.1351,0.0969,0.6826,0.1317
5,0.0750,0.3464,0.1074,0.0613,0.0774,0.0871,0.1647,0.1908,0.1022,0.4006,0.1064,0.1420,0.0874,0.0534,0.1278,0.0394,0.0750,0.1536,0.0895,0.3010,0.0803
5,0.1127,0.0947,0.1420,0.0277,0.0887,0.0452,0.1634,0.1301,0.1346,0.3274,0.1038,0.1383,0.1183,0.0553,0.1304,0.0059,0.1085,0.0924,0.1016,0.3147,0.0961
5,0.1006,0.2211,0.1275,0.1365,0.1074,0.1066,0.1069,0.5961,0.0985,0.4085,0.1339,0.1214,0.1045,0.0624,0.1396,0.0143,0.0810,0.1195,0.0987,0.2875,0.0829
5,0.0800,0.1211,0.1291,0.0834,0.0879,0.1085,0.1074,0.1963,0.0987,0.3431,0.1320,0.0908,0.0787,0.0856,0.1122,0.0114,0.0929,0.1380,0.0855,0.2643,0.1037
5,0.0697,0.1498,0.1098,0.1296,0.0734,0.1267,0.0958,0.1998,0.0958,0.3420,0.1446,0.0985,0.0832,0.1159,0.1206,0.0238,0.0985,0.1465,0.0921,0.2788,0.1080
5,0.0642,0.1435,0.1103,0.0929,0.0758,0.0985,0.0911,0.1771,0.0987,0.3384,0.1246,0.1190,0.1177,0.0827,0.1196,0.0278,0.0908,0.1129,0.0884,0.2685,0.0784
5,0.0650,0.1730,0.1122,0.1204,0.0816,0.0768,0.0863,0.2130,0.0869,0.3429,0.1586,0.1222,0.1249,0.1254,0.1243,0.0228,0.0895,0.1475,0.0892,0.2712,0.0874
5,0.0834,0.1757,0.1185,0.0839,0.0824,0.0737,0.0948,0.1647,0.0942,0.3497,0.1217,0.1111,0.0887,0.1083,0.1122,0.0088,0.0921,0.1169,0.0974,0.2923,0.0810
5,0.0832,0.1337,0.0990,0.0858,0.0824,0.0763,0.0781,0.1707,0.1161,0.3297,0.1386,0.1217,0.0797,0.1004,0.0874,0.0412,0.0813,0.1280,0.0681,0.2941,0.0737
5,0.0789,0.1266,0.1106,0.0723,0.0763,0.0758,0.1043,0.1420,0.0945,0.3407,0.1199,0.1291,0.0871,0.0877,0.1243,0.0338,0.0755,0.1203,0.0747,0.2728,0.0763
5,0.0834,0.1308,0.1111,0.0908,0.0829,0.0750,0.1029,0.1351,0.1016,0.3305,0.1273,0.1515,0.0734,0.1120,0.1468,-0.0124,0.0874,0.1240,0.0755,0.2759,0.0734
5,0.0842,0.1013,0.1117,0.0839,0.0964,0.0816,0.1064,0.1517,0.0974,0.2859,0.1239,0.1394,0.0927,0.0721,0.1190,0.0046,0.0855,0.1330,0.0974,0.2796,0.0715
5,0.0715,0.1102,0.1180,0.0932,0.1056,0.0818,0.1135,0.1180,0.0853,0.3421,0.1218,0.1175,0.1024,0.1890,0.1006,0.0357,0.0813,0.1325,0.0810,0.2654,0.0842
5,0.0821,0.0918,0.1188,0.0808,0.0808,0.0829,0.1188,0.0786,0.1072,0.3155,0.1241,0.0995,0.0832,0.1049,0.1293,0.0017,0.0971,0.0990,0.0940,0.2572,0.0850
5,0.0676,0.1160,0.1399,0.0634,0.0869,0.0832,0.1143,0.1211,0.1066,0.2920,0.1325,0.1000,0.0887,0.0803,0.1085,0.0265,0.0979,0.1037,0.0871,0.2738,0.0839
5,0.0927,0.0767,0.1183,0.0942,0.0895,0.0832,0.1278,0.1016,0.1283,0.2825,0.1212,0.1507,0.0766,0.0991,0.1061,0.0328,0.0858,0.1166,0.0890,0.2709,0.0813
5,0.0818,0.1176,0.1367,0.0454,0.1024,0.0744,0.1156,0.1056,0.1169,0.3012,0.1676,0.0882,0.0694,0.1173,0.1101,0.0011,0.0898,0.1224,0.1016,0.2617,0.0903
5,0.0927,0.1902,0.1441,0.1718,0.0998,0.1135,0.0908,0.1850,0.1122,0.2975,0.1383,0.1291,0.0919,0.0880,0.1349,0.0080,0.0855,0.1140,0.0858,0.2696,0.0768
5,0.0808,0.2665,0.1307,0.1019,0.0821,0.1019,0.1014,0.1908,0.1029,0.2912,0.1547,0.0948,0.0763,0.1125,0.1164,0.0296,0.0824,0.1122,0.1048,0.2622,0.0816
5,0.0887,0.3242,0.1212,0.0805,0.0766,0.0958,0.0940,0.1607,0.0948,0.2613,0.1455,0.1077,0.0710,0.0661,0.1370,0.0172,0.0908,0.1370,0.0890,0.2728,0.0892
5,0.0839,0.1356,0.1201,0.1164,0.0869,0.0713,0.1045,0.1567,0.0993,0.2774,0.1397,0.1243,0.0723,0.1104,0.1151,0.0172,0.0937,0.1195,0.1098,0.2638,0.0800
5,0.0834,0.2443,0.1367,0.0689,0.0884,0.0708,0.0948,0.1351,0.1011,0.3010,0.1769,0.1066,0.0800,0.1120,0.1322,0.0030,0.0977,0.1027,0.0990,0.2501,0.0953
5,0.0858,0.1628,0.1230,0.0660,0.0874,0.0676,0.1048,0.1288,0.1132,0.2672,0.1460,0.1183,0.0834,0.1062,0.1420,0.0067,0.0876,0.1129,0.0839,0.2440,0.0855
5,0.0776,0.1108,0.1520,0.0460,0.0892,0.0702,0.1243,0.1063,0.1180,0.2798,0.1331,0.1214,0.0771,0.0816,0.1531,-0.0037,0.0792,0.1309,0.1264,0.2316,0.0837
5,0.0842,0.1007,0.1481,0.0576,0.0755,0.0760,0.0950,0.1153,0.1217,0.2848,0.1468,0.1193,0.0837,0.0658,0.1307,0.0043,0.0950,0.1106,0.0937,0.2303,0.0987
5,0.0763,0.0817,0.1394,0.0552,0.0686,0.0990,0.1167,0.0778,0.1233,0.2611,0.1426,0.1024,0.0850,0.0769,0.1301,-0.0084,0.0992,0.1153,0.0882,0.2173,0.0890
5,0.1003,0.1208,0.1130,0.0378,0.0866,0.0890,0.0837,0.7328,0.1024,0.3215,0.1446,0.1555,0.0845,0.0671,0.1259,0.0127,0.0845,0.1151,0.1008,0.2691,0.0797
5,0.0964,0.1073,0.1299,0.0723,0.0879,0.0594,0.0987,0.1393,0.1077,0.2759,0.1371,0.1151,0.0969,0.0510,0.1431,0.0112,0.0882,0.1309,0.0871,0.2453,0.1016
5,0.0853,0.2947,0.1457,0.0737,0.0789,0.0797,0.1204,0.1269,0.1124,0.4445,0.1320,0.3518,0.0948,0.0455,0.1328,0.0360,0.0721,0.1475,0.1024,0.2836,0.0966
5,0.0850,0.0960,0.1293,0.1035,0.0792,0.0911,0.1373,0.1348,0.1288,0.3091,0.1285,0.1399,0.0784,0.1650,0.1598,-0.0953,0.0829,0.2969,0.0969,0.3007,0.0784
5,0.0842,0.1345,0.1370,0.0507,0.0816,0.0504,0.1241,0.1686,0.0800,0.3253,0.1771,0.1874,0.0847,0.0510,0.1325,0.0373,0.0876,0.1253,0.0964,0.3015,0.0969
5,0.0813,0.0963,0.1283,0.0713,0.0816,0.0839,0.1351,0.1032,0.1288,0.3741,0.1692,0.1549,0.1072,0.0555,0.1283,0.0412,0.0969,0.1269,0.0887,0.2812,0.0961
